target,horizon,iter,mean_test_mae,std_test_mae,mean_train_mae,gen_gap,n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,max_samples,is_best,params
TOF_Alt,3,9,1.0492213584288006,0.5133747364915369,0.5044695022697541,0.5447518561590465,200,8.0,10,16,0.55,,False,"{""n_estimators"": 200, ""min_samples_split"": 16, ""min_samples_leaf"": 10, ""max_samples"": null, ""max_features"": 0.55, ""max_depth"": 8, ""bootstrap"": true}"
TOF_Alt,3,10,1.1225270049099967,0.660251527576955,0.5885032935455115,0.5340237113644852,160,12.0,20,12,1.0,,False,"{""n_estimators"": 160, ""min_samples_split"": 12, ""min_samples_leaf"": 20, ""max_samples"": null, ""max_features"": 1.0, ""max_depth"": 12, ""bootstrap"": true}"
TOF_Alt,3,11,1.0798213993453418,0.5551532061427514,0.5495385953673734,0.5302828039779685,200,22.0,15,16,0.55,0.95,False,"{""n_estimators"": 200, ""min_samples_split"": 16, ""min_samples_leaf"": 15, ""max_samples"": 0.95, ""max_features"": 0.55, ""max_depth"": 22, ""bootstrap"": true}"
TOF_Alt,3,12,1.055147094926352,0.47726450137934084,0.5339787466878781,0.5211683482384738,160,22.0,10,12,0.4,0.6,False,"{""n_estimators"": 160, ""min_samples_split"": 12, ""min_samples_leaf"": 10, ""max_samples"": 0.6, ""max_features"": 0.4, ""max_depth"": 22, ""bootstrap"": true}"
TOF_Alt,3,13,1.1162849836333972,0.3959623263044225,0.6676140522067988,0.4486709314265984,120,6.0,15,12,sqrt,0.85,False,"{""n_estimators"": 120, ""min_samples_split"": 12, ""min_samples_leaf"": 15, ""max_samples"": 0.85, ""max_features"": ""sqrt"", ""max_depth"": 6, ""bootstrap"": true}"
TOF_Alt,3,14,1.0307117430441946,0.5293826354483632,0.25727954326672464,0.7734321997774699,300,18.0,4,8,0.85,0.95,False,"{""n_estimators"": 300, ""min_samples_split"": 8, ""min_samples_leaf"": 4, ""max_samples"": 0.95, ""max_features"": 0.85, ""max_depth"": 18, ""bootstrap"": true}"
TOF_Alt,3,15,1.034037847790512,0.3144144009896484,0.5618168227729565,0.4722210250175556,200,22.0,2,48,sqrt,,True,"{""n_estimators"": 200, ""min_samples_split"": 48, ""min_samples_leaf"": 2, ""max_samples"": null, ""max_features"": ""sqrt"", ""max_depth"": 22, ""bootstrap"": true}"
TOF_Alt,3,16,1.0915742635024608,0.5137920814156538,0.6248282300335604,0.4667460334689004,300,22.0,20,32,0.4,0.6,False,"{""n_estimators"": 300, ""min_samples_split"": 32, ""min_samples_leaf"": 20, ""max_samples"": 0.6, ""max_features"": 0.4, ""max_depth"": 22, ""bootstrap"": true}"
TOF_Alt,5,1,1.5353907528641852,0.7715889804372726,0.8259138850758895,0.7094768677882958,200,8.0,20,4,0.55,0.95,False,"{""n_estimators"": 200, ""min_samples_split"": 4, ""min_samples_leaf"": 20, ""max_samples"": 0.95, ""max_features"": 0.55, ""max_depth"": 8, ""bootstrap"": true}"
TOF_Alt,5,2,1.7405008183306236,0.6167301657343864,1.049003360423753,0.6914974579068707,160,6.0,30,16,sqrt,0.85,False,"{""n_estimators"": 160, ""min_samples_split"": 16, ""min_samples_leaf"": 30, ""max_samples"": 0.85, ""max_features"": ""sqrt"", ""max_depth"": 6, ""bootstrap"": true}"
